Average Speed (mpm),Average Travel Time (HH:MM:SS),Average Distance Travelled (m),Average Speed (mpm) AM Peak,Average Distance Travelled (m) AM Peak,Average Speed (mpm) PM Peak,Average Distance Travelled (m) PM Peak
100.8,,180.05,12.71428571,5.1,9.571428571,3.5
90.8,,221.375,16,30,16.42857143,5.5
149,,368.525,28.57143,32.4,1.857143,7.5
207.4,,1105.925,54,65.7,4.714286,13
91.2,,1165.1,25.42857,68.1,28.57143,16.5
240.6,,1218.575,21.42857,88.2,17.85714,33.5
393.8,,1238.525,38.14286,100.2,14.28571,39
313,,1335.65,44.71429,117.6,37.14286,55.5
228,,1432.85,34,120.9,14.71429,93
255.8,,1985.9,22.28571,350.4,32.14286,231
105.2,,2148.35,72.28571,376.2,53.85714,1183.5
166.2,,2477.75,19.14286,495.9,33.85714,1230.5
214.4,,3261.275,42.57143,666.3,51.14286,1333.5
332.8,,3345.725,149.8571,781.2,264.8571,1388.5
231.4,,3935.675,446.4286,813,159.1429,1658.5
459.4,,4276.55,61.71429,1053.9,44.42857,1705.5
301.4,,4393.85,224.2857,1380.3,78,1865.5
472.8,,4944.725,63.42857,1403.7,55,1902
281.6,,5226.95,253.4286,1423.8,63.28571,2218
364.8,,5253.725,65.42857,1593,308.2857,2467
219.2,,5501.825,143.4286,1714.2,110.5714,2671.5
337,,5719.625,157.8571,2021.4,105.5714,2864
237.6,,5747,110.7143,2110.5,237.8571,2997.5
347.4,,5763.05,46.42857,2223.9,140.4286,3001.5
330,,5900,128.1429,2331.9,125.4286,3209
258.2,,6445.475,56.57143,2487.9,95,3285
458.8,,6700.85,76.14286,2864.7,130.4286,3468
384.4,,6803.45,68,2979,221.4286,3589.5
262.4,,6839.3,69.85714,3048.6,160,3595.5
465.4,,6867.05,201.5714,3068.4,163.1429,3739.5
314.4,,6921.725,233.5714,3109.5,112.5714,3765.5
308.6,,7077.8,296.8571,3145.5,118.7143,3790.5
370.6,,7083.95,274.4286,3333.3,139,3858.5
403.4,,7196.45,94.14286,3383.7,122,3978.5
426.8,,7283.975,389.5714,3468.6,266,4330.5
290,,7327.925,225.2857,4055.7,291.2857,4374
395.8,,7344.05,140.4286,4143.6,151.8571,4379.5
551.8,,7358.975,353.7143,4244.7,264.2857,4474.5
296,,7434.575,292.1429,4372.8,377.2857,4673
473.4,,7536.5,121.4286,4375.5,140.2857,4815
346.8,,7542.65,165,4381.5,122.8571,4859.5
338.8,,7657.1,184.1429,4425.6,230.8571,4884.5
447.6,,7717.325,260.1429,4480.5,281.2857,4986
327.6,,7826.9,279.5714,4667.1,153,5045
385.8,,8148.2,357.5714,4708.2,186,5085
523.6,,8282.975,261.7143,4718.4,153.1429,5093
377,,8335.4,278.4286,5145.6,170.1429,5104.5
314.8,,8372,166.4286,5149.8,153.8571,5173
503.4,,8475.275,328.8571,5172.3,133.5714,5235
280.8,,8484.125,143,5298.6,132.8571,5303
344.2,,8506.475,144.5714,5355.3,179.2857,5368.5
289.6,,8587.25,162.5714,5565.6,165,5398
382.2,,8606.975,256.2857,6042,157.7143,5436.5
283,,8748.5,147.5714,6104.4,242.8571,5476.5
262.8,,8776.1,165.1429,6114,191.7143,5534
255.8,,8820.275,144.1429,6130.5,184.7143,5613
493.2,,8914.1,326.1429,6165,150.1429,5700
278,,9037.7,197.4286,6180.3,166.7143,5804
275.4,,9072.725,283.7143,6272.4,152.7143,5904.5
548.4,,9228.575,358.2857,6273,191.7143,6591
353.2,,9387.95,359.1429,6320.7,218,6855
399.6,,9466.625,212.5714,6527.1,256,7163.5
485.6,,9510.425,177,6546,253.5714,7179.5
661.6,,9739.1,310,6581.7,269.7143,7302.5
475.4,,9801.275,243.4286,6878.1,181.2857,7404.5
620.8,,9884.525,286.2857,7030.5,208.4286,7667
261,,10001.45,291.8571,7164.6,255.4286,7843.5
280.6,,10053.65,202.7143,7306.8,253.5714,7873.5
470.8,,10106.75,327.2857,7415.1,186,8006.5
721.2,,10111.25,218,7693.2,179.2857,8465
553.2,,10207.18,248.4286,7760.7,187.4286,8492.5
309,,10255.25,229,7800.3,163.8571,8547.5
283,,10298.83,422.2857,7829.4,288.1429,8605
496.8,,10313,156.4286,7834.2,305.7143,8646.5
347.6,,10371.65,441.8571,7938,221.2857,8716.5
475,,10374.65,192,8016.3,287.5714,8773
698.2,,10725.5,277.5714,8142.6,318.4286,8992
425.4,,10796.15,277,8155.8,280,9046.5
414.8,,10890.13,309.4286,8493,247,9056.5
544.8,,10962.88,377.7143,8516.4,244.8571,9109
533.8,,10999.1,241.4286,8544.3,251.1429,9139
598.8,,11002.93,171.1429,8812.8,269.5714,9319
534.2,,11105.68,277,8871.6,214.1429,9531.5
529.8,,11218.78,417.1429,8932.5,235.2857,9650
457.8,,11343.95,450.2857,8946.6,350.1429,9686.5
333,,11428.85,170.5714,9025.5,251.4286,9703.5
367.8,,11469.13,187.1429,9102.3,265.5714,9725
436.2,,11513.45,169.2857,9123.6,257.5714,9737
523.4,,11545.1,382.8571,9183,257.1429,9778
377.8,,11573.3,243.5714,9275.4,270.1429,9804.5
455.2,,11636.15,262.4286,9279.6,300.8571,9813
513.6,,11701.63,393.7143,9363.3,217.1429,9834.5
403.4,,11702.53,189.7143,9415.5,169.2857,9870.5
536.2,,11719.55,300.8571,9430.2,270.2857,9882
473.6,,11857.25,200.5714,9498.9,309.8571,9908
581.2,,11937.95,356.1429,9738,220.5714,9917.5
473.8,,11957,225.5714,9766.8,269.5714,9958.5
486.2,,12057.43,439.1429,9815.4,243.1429,9964
494.6,,12164.23,276.1429,10047.6,257.7143,9977
468.8,,12179.75,401.7143,10221.6,239.1429,9983.5
337,,12252.2,176.4286,10239.9,332.2857,9989
598,,12274.1,356.7143,10467.6,255.1429,10025
409.6,,12365.38,303,10719.9,273.2857,10041
582.8,,12425.38,289.4286,10749.9,247.4286,10052.5
615.6,,12432.95,253,10761,240.5714,10098
503.2,,12449.23,310.5714,10872.6,380,10181
544.4,,12482,257.8571,10897.2,268.1429,10203.5
436.6,,12522.05,352.8571,10988.1,297.5714,10255.5
465.4,,12593.9,432.5714,11172,267.2857,10326.5
431.2,,12634.7,261.1429,11198.4,384.4286,10331.5
511.6,,12654.58,391.7143,11362.2,295.8571,10365.5
488.8,,12659,195.2857,11435.7,305.4286,10394.5
587.8,,12669.58,394.5714,11655,317.5714,10443
464.8,,12676.7,249.5714,11717.1,314.2857,10446
460,,12748.63,211.2857,11783.4,396.8571,10498
544.4,,12824.3,320.7143,11965.2,338.7143,10499
476.6,,12829.4,204.7143,12005.4,310.5714,10504
448.6,,13078.48,271,12051.3,272.8571,10518.5
555.8,,13086.43,229,12084.6,284.2857,10562
579.8,,13286.6,321.8571,12088.2,289.5714,10564
513.8,,13407.8,205.5714,12136.5,288.4286,10569
546.4,,13467.2,200.5714,12165,342.4286,10569.5
588.8,,13641.35,338.2857,12232.2,314.1429,10574
531,,13709.08,262.1429,12297.9,345.1429,10578
640.8,,13787.15,208,12381.3,261.5714,10602
499.8,,13787.23,290,12404.1,257.5714,10605
455.2,,13829.38,209.8571,12432.9,357.5714,10610
442.2,,13876.25,337,12470.1,416.4286,10656
550.2,,13918.33,286,12589.2,176.4286,10660.5
488.8,,13933.03,379.7143,12687.3,353.7143,10710
337.8,,13976.15,221.2857,12719.4,374,10711.5
463.4,,14028.8,217,12849.6,299.7143,10730
368.4,,14044.18,350.1429,12889.2,425.4286,10745
483.8,,14164.78,374.8571,12908.7,411.1429,10748
