,0,1
9,96.2,2030.0
76,232.6,10383.2
78,215.2,10791.05
152,200.8,15107.675
157,198.8,15423.875
190,358.0,18047.975
210,97.8,18804.275
211,207.8,18813.95
218,280.0,19300.25
286,408.0,27427.325
289,469.2,28070.45
291,360.4,28423.925
297,409.0,33288.875
302,470.4,36428.525
303,564.6,36897.425
304,497.4,36918.575
305,508.4,36982.1
306,473.0,38138.15
307,418.2,39222.425
308,454.0,39761.825
309,545.0,40136.825
310,583.8,41912.15
311,520.2,42297.8
312,472.4,42896.6
313,479.0,63739.475
314,603.8,64096.1
315,568.8,68154.275
316,329.0,84161.225
317,413.2,87774.2
318,523.4,96241.925
319,517.4,120312.2
320,500.4,129640.775
321,388.8,134358.5
322,440.2,142515.125
323,519.0,173047.475
324,504.8,670329.35
325,552.6,683454.275
326,561.8,729657.35
327,503.0,3530902.25
328,423.4,3979253.75
329,499.6,4697729.0
330,444.4,5030868.5
331,613.4,5639612.0
332,542.6,6773497.25
333,540.0,7640337.5
334,502.0,9634445.0
335,573.4,9763317.5
336,498.0,10231250.0
337,520.0,10730292.5
338,537.4,10842725.0
339,486.2,11904357.5
340,625.0,12482727.5
341,645.6,13513317.5
342,569.2,14170977.5
343,578.8,15328197.5
