,0,1
0,90.8,221.375
1,149.0,368.525
2,207.4,1105.925
3,91.2,1165.1
4,240.6,1218.575
5,393.8,1238.525
6,313.0,1335.65
7,228.0,1432.85
8,255.8,1985.9
10,105.2,2148.35
11,166.2,2477.75
12,214.4,3261.275
13,332.8,3345.725
14,231.4,3935.675
15,459.4,4276.55
16,301.4,4393.85
17,472.8,4944.725
18,281.6,5226.95
19,364.8,5253.725
20,219.2,5501.825
21,337.0,5719.625
22,237.6,5747.0
23,347.4,5763.05
24,330.0,5900.0
25,258.2,6445.475
26,458.8,6700.85
27,384.4,6803.45
28,262.4,6839.3
29,465.4,6867.05
30,314.4,6921.725
31,308.6,7077.8
32,370.6,7083.95
33,403.4,7196.45
34,426.8,7283.975
35,290.0,7327.925
36,395.8,7344.05
37,551.8,7358.975
38,296.0,7434.575
39,473.4,7536.5
40,346.8,7542.65
41,338.8,7657.1
42,447.6,7717.325
43,327.6,7826.9
44,385.8,8148.2
45,523.6,8282.975
46,377.0,8335.4
47,314.8,8372.0
48,503.4,8475.275
49,280.8,8484.125
50,344.2,8506.475
51,289.6,8587.25
52,382.2,8606.975
53,283.0,8748.5
54,262.8,8776.1
55,255.8,8820.275
56,493.2,8914.1
57,278.0,9037.7
58,275.4,9072.725
59,548.4,9228.575
60,353.2,9387.95
61,399.6,9466.625
62,485.6,9510.425
63,661.6,9739.1
64,475.4,9801.275
65,620.8,9884.525
66,261.0,10001.45
67,280.6,10053.65
68,470.8,10106.75
69,721.2,10111.25
70,553.2,10207.175
71,309.0,10255.25
72,283.0,10298.825
73,496.8,10313.0
74,347.6,10371.65
75,475.0,10374.65
77,698.2,10725.5
79,425.4,10796.15
80,414.8,10890.125
81,544.8,10962.875
82,533.8,10999.1
83,598.8,11002.925
84,534.2,11105.675
85,529.8,11218.775
86,457.8,11343.95
87,333.0,11428.85
88,367.8,11469.125
89,436.2,11513.45
90,523.4,11545.1
91,377.8,11573.3
92,455.2,11636.15
93,513.6,11701.625
94,403.4,11702.525
95,536.2,11719.55
96,473.6,11857.25
97,581.2,11937.95
98,473.8,11957.0
99,486.2,12057.425
100,494.6,12164.225
101,468.8,12179.75
102,337.0,12252.2
103,598.0,12274.1
104,409.6,12365.375
105,582.8,12425.375
106,615.6,12432.95
107,503.2,12449.225
108,544.4,12482.0
109,436.6,12522.05
110,465.4,12593.9
111,431.2,12634.7
112,511.6,12654.575
113,488.8,12659.0
114,587.8,12669.575
115,464.8,12676.7
116,460.0,12748.625
117,544.4,12824.3
118,476.6,12829.4
119,448.6,13078.475
120,555.8,13086.425
121,579.8,13286.6
122,513.8,13407.8
123,546.4,13467.2
124,588.8,13641.35
125,531.0,13709.075
126,640.8,13787.15
127,499.8,13787.225
128,455.2,13829.375
129,442.2,13876.25
130,550.2,13918.325
131,488.8,13933.025
132,337.8,13976.15
133,463.4,14028.8
134,368.4,14044.175
135,483.8,14164.775
136,563.4,14263.7
137,510.8,14397.5
138,591.6,14418.725
139,485.4,14442.125
140,540.0,14522.45
141,588.2,14605.25
142,536.4,14617.4
143,437.8,14683.25
144,610.2,14748.125
145,469.2,14826.05
146,543.8,14847.425
147,432.6,14863.925
148,457.8,14866.625
149,437.6,15022.55
150,476.8,15033.275
151,550.2,15097.325
153,445.2,15258.2
154,358.8,15293.6
155,543.4,15317.075
156,605.6,15342.65
158,571.8,15523.625
159,520.4,15705.425
160,339.4,15719.825
161,519.8,15746.45
162,593.2,15818.075
163,516.8,15876.65
164,501.0,15975.425
165,484.6,15987.275
166,465.6,16015.55
167,561.4,16069.025
168,598.6,16245.425
169,440.4,16256.825
170,510.2,16497.275
171,574.6,16556.15
172,573.0,16619.3
173,399.0,16644.275
174,400.2,16737.5
175,613.4,16773.65
176,439.6,16907.075
177,435.0,16969.475
178,520.2,16988.6
179,543.6,17129.225
180,564.0,17144.375
181,513.6,17175.5
182,601.4,17250.05
183,497.8,17263.175
184,493.2,17381.525
185,520.6,17396.15
186,651.0,17459.6
187,552.0,17560.475
188,524.0,17921.675
189,521.0,17958.8
191,435.0,18074.225
192,576.8,18109.025
193,556.6,18143.525
194,595.6,18152.225
195,512.2,18170.825
196,470.8,18225.575
197,519.8,18366.575
198,531.6,18515.45
199,517.2,18524.15
200,544.8,18588.65
201,581.6,18606.35
202,579.4,18633.5
203,422.2,18664.25
204,533.6,18674.3
205,543.2,18760.925
206,495.8,18769.325
207,506.0,18772.7
208,483.6,18789.275
209,541.8,18797.225
212,572.4,18819.2
213,517.0,18920.075
214,540.2,18942.5
215,544.0,19012.775
216,494.4,19114.475
217,418.8,19221.575
219,528.0,19334.675
220,543.6,19378.025
221,515.8,19481.075
222,510.6,19559.825
223,539.6,19644.575
224,493.6,19648.325
225,530.8,19670.675
226,565.0,19687.025
227,656.0,19714.55
228,553.8,19829.825
229,536.0,19876.775
230,548.2,19935.05
231,529.6,19962.2
232,582.8,20045.675
233,406.0,20125.325
234,586.6,20171.675
235,586.0,20203.55
236,487.8,20249.3
237,529.0,20359.025
238,512.4,20437.025
239,529.2,20442.425
240,578.6,20489.9
241,488.0,20512.025
242,590.4,20644.025
243,572.0,20699.9
244,567.2,20702.75
245,439.8,20743.1
246,514.8,20830.775
247,560.8,20872.85
248,580.4,20915.375
249,560.2,20923.775
250,419.0,21079.4
251,536.8,21094.325
252,532.2,21117.725
253,611.4,21169.625
254,394.8,21318.95
255,564.2,21370.025
256,484.0,21558.425
257,589.2,21690.875
258,528.4,21693.65
259,631.8,21775.1
260,579.6,21790.4
261,577.4,21862.025
262,483.2,22112.0
263,575.2,22234.85
264,529.6,22245.8
265,461.2,22370.075
266,588.8,22480.4
267,605.6,22563.875
268,617.2,22667.6
269,602.0,22697.075
270,557.0,22896.2
271,592.2,23369.15
272,565.6,23662.1
273,575.8,23826.425
274,577.8,23854.325
275,524.2,24022.25
276,508.0,24286.175
277,565.4,24538.4
278,472.6,24598.1
279,440.4,25013.45
280,600.8,25058.45
281,516.4,25100.225
282,498.8,26055.05
283,530.6,26599.175
284,547.4,26612.3
285,624.4,27066.5
287,512.8,27567.725
288,568.4,27767.225
290,593.0,28362.95
292,560.4,29057.0
293,611.8,30146.3
294,559.6,30405.35
295,532.0,31914.05
296,537.8,32413.7
298,567.6,33417.575
299,607.2,33984.05
300,595.0,35054.75
301,599.2,35486.45
