,0,1
0,1.857142857,7.5
1,4.714285714,13.0
2,28.57142857,16.5
3,17.85714286,33.5
4,14.28571429,39.0
5,37.14285714,55.5
7,14.71428571,93.0
9,32.14285714,231.0
12,53.85714286,1183.5
13,33.85714286,1230.5
14,51.14285714,1333.5
15,264.8571429,1388.5
16,159.1428571,1658.5
17,44.42857143,1705.5
18,78.0,1865.5
19,55.0,1902.0
20,63.28571429,2218.0
22,308.2857143,2467.0
23,110.5714286,2671.5
24,105.5714286,2864.0
27,237.8571429,2997.5
28,140.4285714,3001.5
29,125.4285714,3209.0
30,95.0,3285.0
31,130.4285714,3468.0
32,221.4285714,3589.5
33,160.0,3595.5
34,163.1428571,3739.5
35,112.5714286,3765.5
36,118.7142857,3790.5
37,139.0,3858.5
38,122.0,3978.5
39,266.0,4330.5
40,291.2857143,4374.0
41,151.8571429,4379.5
42,264.2857143,4474.5
44,377.2857143,4673.0
45,140.2857143,4815.0
46,122.8571429,4859.5
47,230.8571429,4884.5
48,281.2857143,4986.0
49,153.0,5045.0
51,186.0,5085.0
52,153.1428571,5093.0
53,170.1428571,5104.5
54,153.8571429,5173.0
55,133.5714286,5235.0
56,132.8571429,5303.0
57,179.2857143,5368.5
58,165.0,5398.0
59,157.7142857,5436.5
60,242.8571429,5476.5
61,191.7142857,5534.0
62,184.7142857,5613.0
63,150.1428571,5700.0
64,166.7142857,5804.0
65,152.7142857,5904.5
67,191.7142857,6591.0
71,218.0,6855.0
72,256.0,7163.5
74,253.5714286,7179.5
75,269.7142857,7302.5
77,181.2857143,7404.5
78,208.4285714,7667.0
79,255.4285714,7843.5
80,253.5714286,7873.5
81,186.0,8006.5
82,179.2857143,8465.0
83,187.4285714,8492.5
84,163.8571429,8547.5
87,288.1428571,8605.0
88,305.7142857,8646.5
89,221.2857143,8716.5
90,287.5714286,8773.0
91,318.4285714,8992.0
92,280.0,9046.5
93,247.0,9056.5
94,244.8571429,9109.0
95,251.1428571,9139.0
96,269.5714286,9319.0
97,214.1428571,9531.5
98,235.2857143,9650.0
99,350.1428571,9686.5
100,251.4285714,9703.5
101,265.5714286,9725.0
102,257.5714286,9737.0
103,257.1428571,9778.0
104,270.1428571,9804.5
105,300.8571429,9813.0
106,217.1428571,9834.5
107,169.2857143,9870.5
108,270.2857143,9882.0
109,309.8571429,9908.0
110,220.5714286,9917.5
111,269.5714286,9958.5
112,243.1428571,9964.0
113,257.7142857,9977.0
114,239.1428571,9983.5
115,332.2857143,9989.0
116,255.1428571,10025.0
118,273.2857143,10041.0
119,247.4285714,10052.5
120,240.5714286,10098.0
121,380.0,10181.0
122,268.1428571,10203.5
123,297.5714286,10255.5
124,267.2857143,10326.5
125,384.4285714,10331.5
126,295.8571429,10365.5
127,305.4285714,10394.5
128,317.5714286,10443.0
129,314.2857143,10446.0
130,396.8571429,10498.0
131,338.7142857,10499.0
132,310.5714286,10504.0
133,272.8571429,10518.5
134,284.2857143,10562.0
135,289.5714286,10564.0
136,288.4285714,10569.0
137,342.4285714,10569.5
138,314.1428571,10574.0
139,345.1428571,10578.0
140,261.5714286,10602.0
141,257.5714286,10605.0
142,357.5714286,10610.0
143,416.4285714,10656.0
144,176.4285714,10660.5
145,353.7142857,10710.0
146,374.0,10711.5
147,299.7142857,10730.0
148,425.4285714,10745.0
149,411.1428571,10748.0
150,274.8571429,10762.5
151,337.8571429,10763.5
152,362.0,10836.5
153,302.1428571,10860.5
154,320.7142857,10861.5
155,230.8571429,10873.5
156,324.4285714,10900.5
157,307.0,10905.0
158,230.5714286,10964.0
159,409.7142857,10983.0
160,361.2857143,10993.5
161,340.2857143,11018.0
162,259.7142857,11026.0
163,341.4285714,11037.5
164,350.8571429,11073.5
165,291.8571429,11081.5
166,344.8571429,11095.5
167,255.8571429,11103.0
168,240.7142857,11185.0
169,240.4285714,11231.0
170,167.0,11247.5
171,323.4285714,11278.0
172,320.2857143,11285.0
173,346.0,11286.5
174,332.0,11310.5
175,297.4285714,11318.0
176,226.5714286,11333.5
177,369.0,11335.0
178,379.0,11352.5
179,356.5714286,11364.0
180,363.2857143,11366.5
181,236.8571429,11373.0
182,238.0,11376.0
183,272.8571429,11410.5
184,339.4285714,11429.5
185,361.0,11439.5
186,318.0,11451.0
187,193.0,11473.5
188,251.7142857,11482.0
189,324.4285714,11484.0
190,281.8571429,11525.5
191,398.8571429,11544.5
192,273.4285714,11547.0
193,344.2857143,11610.5
194,283.2857143,11615.5
195,374.2857143,11642.5
196,204.7142857,11646.5
197,373.2857143,11648.5
198,352.1428571,11702.0
199,359.7142857,11710.5
200,156.4285714,11712.5
201,354.0,11736.5
202,200.2857143,11775.5
203,354.8571429,11786.0
204,267.1428571,11794.5
205,336.8571429,11808.5
206,273.0,11811.0
207,243.8571429,11818.5
208,393.0,11839.0
209,377.2857143,11846.0
210,311.5714286,11866.5
211,349.8571429,11886.0
212,317.1428571,11906.5
213,207.7142857,11925.5
214,282.2857143,11945.5
215,256.1428571,11983.0
216,325.4285714,12067.0
217,410.4285714,12072.0
218,224.5714286,12084.5
219,165.8571429,12094.0
220,313.4285714,12099.5
222,341.8571429,12137.0
223,382.0,12155.0
224,214.7142857,12225.0
225,453.5714286,12227.0
226,345.2857143,12328.0
227,366.7142857,12340.0
228,185.1428571,12365.5
229,306.1428571,12450.5
230,337.1428571,12485.5
232,164.4285714,12579.5
233,264.5714286,12595.5
234,182.7142857,12653.0
236,326.0,12677.5
237,387.5714286,12737.0
238,420.8571429,12797.0
239,290.5714286,12827.5
240,324.4285714,13100.0
242,333.0,13431.5
243,273.5714286,13623.0
244,203.8571429,13730.5
245,332.4285714,13939.5
246,345.7142857,14028.5
247,227.4285714,14247.0
248,310.1428571,14281.5
249,246.8571429,14352.0
250,372.7142857,14365.0
251,208.0,14453.0
252,356.5714286,14582.5
253,338.2857143,14608.0
254,236.0,14648.0
255,384.7142857,14875.0
256,205.1428571,14883.5
258,230.0,15106.5
259,342.8571429,15184.5
260,295.5714286,15210.0
261,222.8571429,15609.0
262,256.7142857,15811.0
265,330.5714286,16224.5
266,254.4285714,16335.5
267,351.2857143,16444.0
268,333.5714286,16472.5
269,266.7142857,16491.0
272,300.7142857,16941.0
273,362.8571429,17121.5
276,273.7142857,17631.5
277,286.7142857,17790.0
279,301.2857143,17932.5
280,276.1428571,18128.0
281,282.7142857,18146.0
282,378.8571429,18181.5
284,290.8571429,18806.0
286,320.5714286,19427.5
287,304.5714286,19522.5
293,313.4285714,21213.0
294,319.4285714,21849.5
295,325.0,22149.5
296,358.2857143,22500.5
297,319.4285714,22539.0
300,359.5714286,23178.5
301,314.1428571,23245.0
302,344.7142857,23260.0
303,349.0,23276.0
304,341.4285714,23429.5
306,325.7142857,24252.0
308,332.8571429,25280.0
309,337.8571429,25506.5
311,344.5714286,25816.5
313,359.1428571,26275.0
314,364.5714286,26730.0
315,373.7142857,26962.5
317,385.0,27515.0
319,363.8571429,27827.0
